Release 10.1.03 - par K.39 (lin)
Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

Tue Jun 24 16:12:02 2014


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       system_map.ncd
OUTPUT FILE:      system_pad.txt
PART TYPE:        xc2vp50
SPEED GRADE:      -6
PACKAGE:          ff1152

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name        |Pin Usage|Pin Name        |Direction  |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AA34      |Flash_DQ<5>        |IOB      |IO_L60P_6       |BIDIR      |LVTTL      |6             |12        |SLOW     |PULLUP     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AB1       |                   |DIFFS    |IO_L51N_3/VREF_3|UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB2       |                   |DIFFM    |IO_L54P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB3       |                   |DIFFS    |IO_L48N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB4       |                   |DIFFM    |IO_L48P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB5       |                   |DIFFS    |IO_L46N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB6       |                   |DIFFM    |IO_L46P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB7       |                   |DIFFS    |IO_L41N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB8       |                   |DIFFM    |IO_L41P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB9       |                   |DIFFS    |IO_L38N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB10      |                   |DIFFM    |IO_L38P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AB11      |                   |         |VCCO_3          |           |           |3             |          |         |           |         |2.50     |          |         |           |                |
|AB12      |                   |         |VCCO_3          |           |           |3             |          |         |           |         |2.50     |          |         |           |                |
|AB13      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB14      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB15      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB16      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB17      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB18      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB19      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB20      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB21      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB22      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AB23      |                   |         |VCCO_6          |           |           |6             |          |         |           |         |3.30     |          |         |           |                |
|AB24      |                   |         |VCCO_6          |           |           |6             |          |         |           |         |3.30     |          |         |           |                |
|AB25      |                   |DIFFM    |IO_L38P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AB26      |                   |DIFFS    |IO_L38N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AB27      |                   |DIFFM    |IO_L41P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AB28      |                   |DIFFS    |IO_L41N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AB29      |                   |DIFFM    |IO_L46P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AB30      |Flash_CEN<3>       |IOB      |IO_L46N_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |PULLDOWN   |         |         |LOCATED   |         |YES        |NONE            |
|AB31      |                   |DIFFM    |IO_L48P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AB32      |                   |DIFFS    |IO_L48N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AB33      |Flash_CEN<0>       |IOB      |IO_L54P_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |PULLDOWN   |         |         |LOCATED   |         |YES        |NONE            |
|AB34      |Flash_OEN          |IOB      |IO_L51N_6/VREF_6|OUTPUT     |LVTTL      |6             |12        |SLOW     |PULLDOWN   |         |         |LOCATED   |         |YES        |NONE            |
|AC1       |                   |DIFFM    |IO_L51P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC2       |                   |DIFFS    |IO_L45N_3/VREF_3|UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC3       |                   |DIFFS    |IO_L43N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC4       |                   |DIFFM    |IO_L43P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC5       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AC6       |                   |DIFFS    |IO_L40N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC7       |                   |DIFFM    |IO_L40P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC8       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AC9       |                   |DIFFS    |IO_L32N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC10      |                   |DIFFM    |IO_L32P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AC11      |                   |         |VCCO_3          |           |           |3             |          |         |           |         |2.50     |          |         |           |                |
|AC12      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AC13      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AC14      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AC15      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AC16      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AC17      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AC18      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AC19      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AC20      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AC21      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AC22      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AC23      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AC24      |                   |         |VCCO_6          |           |           |6             |          |         |           |         |3.30     |          |         |           |                |
|AC25      |                   |DIFFM    |IO_L32P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AC26      |                   |DIFFS    |IO_L32N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AC27      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AC28      |                   |DIFFM    |IO_L40P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AC29      |                   |DIFFS    |IO_L40N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AC30      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AC31      |                   |DIFFM    |IO_L43P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AC32      |                   |DIFFS    |IO_L43N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AC33      |Flash_CEN<1>       |IOB      |IO_L45N_6/VREF_6|OUTPUT     |LVTTL      |6             |12        |SLOW     |PULLDOWN   |         |         |LOCATED   |         |YES        |NONE            |
|AC34      |Flash_A<30>        |IOB      |IO_L51P_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |PULLUP     |         |         |LOCATED   |         |YES        |NONE            |
|AD1       |dnepr_TX           |IOB      |IO_L42N_3       |OUTPUT     |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |         |          |         |YES        |NONE            |
|AD2       |                   |DIFFM    |IO_L45P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD3       |                   |DIFFS    |IO_L39N_3/VREF_3|UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD4       |                   |DIFFM    |IO_L39P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD5       |                   |DIFFS    |IO_L37N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD6       |                   |DIFFM    |IO_L37P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD7       |                   |DIFFS    |IO_L35N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD8       |                   |DIFFM    |IO_L35P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD9       |                   |DIFFS    |IO_L20N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD10      |                   |DIFFM    |IO_L20P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AD11      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AD12      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AD13      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AD14      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AD15      |                   |         |VCCO_4          |           |           |4             |          |         |           |         |2.50     |          |         |           |                |
|AD16      |                   |DIFFS    |IO_L49N_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AD17      |                   |DIFFS    |IO_L67N_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AD18      |                   |DIFFM    |IO_L67P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AD19      |                   |DIFFM    |IO_L49P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AD20      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AD21      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AD22      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AD23      |                   |         |VCCO_5          |           |           |5             |          |         |           |         |2.50     |          |         |           |                |
|AD24      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AD25      |                   |DIFFM    |IO_L20P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD26      |RS232_1_TX         |IOB      |IO_L20N_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AD27      |                   |DIFFM    |IO_L35P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD28      |                   |DIFFS    |IO_L35N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD29      |                   |DIFFM    |IO_L37P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD30      |                   |DIFFS    |IO_L37N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD31      |                   |DIFFM    |IO_L39P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD32      |                   |DIFFS    |IO_L39N_6/VREF_6|UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD33      |                   |DIFFM    |IO_L45P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AD34      |Flash_CEN<2>       |IOB      |IO_L42N_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |PULLDOWN   |         |         |LOCATED   |         |YES        |NONE            |
|AE1       |                   |DIFFM    |IO_L42P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AE2       |                   |DIFFS    |IO_L36N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AE3       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AE4       |                   |DIFFS    |IO_L34N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AE5       |                   |DIFFM    |IO_L34P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AE6       |                   |         |VCCO_3          |           |           |3             |          |         |           |         |2.50     |          |         |           |                |
|AE7       |                   |DIFFS    |IO_L23N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AE8       |                   |DIFFM    |IO_L23P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AE9       |                   |         |CCLK            |           |           |              |          |         |           |         |         |          |         |           |                |
|AE10      |                   |         |DONE            |           |           |              |          |         |           |         |         |          |         |           |                |
|AE11      |DDR_DQ<26>         |IOB      |IO_L07N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AE12      |DDR_DQS<2>         |IOB      |IO_L19N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |PULLDOWN   |NONE     |         |LOCATED   |         |YES        |NONE            |
|AE13      |                   |DIFFS    |IO_L37N_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AE14      |                   |DIFFS    |IO_L43N_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AE15      |DDR_Addr<3>        |IOB      |IO_L46N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE16      |DDR_Addr<1>        |IOB      |IO_L49P_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE17      |DDR_DQ<0>          |IOB      |IO_L67P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AE18      |DDR_BankAddr<0>    |IOB      |IO_L67N_5       |OUTPUT     |SSTL2_I    |5             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE19      |                   |DIFFS    |IO_L49N_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AE20      |DDR_CASn           |IOB      |IO_L46P_5       |OUTPUT     |SSTL2_I    |5             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AE21      |                   |DIFFM    |IO_L43P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AE22      |Flash_A<0>         |IOB      |IO_L37P_5       |OUTPUT     |LVCMOS25*  |5             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AE23      |                   |DIFFM    |IO_L19P_5       |UNUSED     |           |5             |          |         |           |         |         |          |         |           |                |
|AE24      |Flash_A<4>         |IOB      |IO_L07P_5       |OUTPUT     |LVCMOS25*  |5             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AE25      |                   |         |M2              |           |           |              |          |         |           |         |         |          |         |           |                |
|AE26      |                   |         |M1              |           |           |              |          |         |           |         |         |          |         |           |                |
|AE27      |                   |DIFFM    |IO_L23P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AE28      |                   |DIFFS    |IO_L23N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AE29      |                   |         |VCCO_6          |           |           |6             |          |         |           |         |3.30     |          |         |           |                |
|AE30      |                   |DIFFM    |IO_L34P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AE31      |                   |DIFFS    |IO_L34N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AE32      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AE33      |                   |DIFFS    |IO_L36N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AE34      |                   |DIFFM    |IO_L42P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AF1       |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AF2       |                   |DIFFM    |IO_L36P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AF3       |                   |DIFFS    |IO_L31N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AF4       |                   |DIFFM    |IO_L31P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AF5       |                   |DIFFS    |IO_L22N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AF6       |                   |DIFFM    |IO_L22P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AF7       |                   |DIFFS    |IO_L17N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AF8       |                   |DIFFM    |IO_L17P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AF9       |                   |         |PWRDWN_B        |           |           |              |          |         |           |         |         |          |         |           |                |
|AF10      |                   |DIFFM    |IO_L05_4/No_Pair|UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AF11      |                   |DIFFM    |IO_L07P_4/VREF_4|UNUSED/VREF|           |4             |          |         |           |         |1.25     |          |         |           |                |
|AF12      |DDR_DQS<3>         |IOB      |IO_L19P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |PULLDOWN   |NONE     |         |LOCATED   |         |YES        |NONE            |
|AF13      |DDR_DQ<4>          |IOB      |IO_L37P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AF14      |                   |DIFFM    |IO_L43P_4       |UNUSED     |           |4             |          |         |           |         |         |          |         |           |                |
|AF15      |DDR_DQ<2>          |IOB      |IO_L46P_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AF16      |DDR_Addr<4>        |IOB      |IO_L55N_4       |OUTPUT     |SSTL2_I    |4             |          |NONE*    |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|AF17      |DDR_DQ<1>          |IOB      |IO_L73N_4       |BIDIR      |SSTL2_I    |4             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AF18      |DDR_DQ<31>         |IOB      |IO_L73P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
|AF19      |DDR_DQ<30>         |IOB      |IO_L55P_5       |BIDIR      |SSTL2_I    |5             |          |NONE*    |NONE**     |NONE     |         |LOCATED   |         |YES        |NONE            |
